ลำดับ,ผู้รับผิดชอบ Facility,ชื่อสถานี (ENG),ชื่อสถานี,ที่อยู่,เจ้าของสถานที่,ศูนย์วิศวกรรม,ประเภทสถานี,Long,Lat,ht(m),HRP,ที่ตั้งสถานี,Ant. Type 1,Ant. Type 2,Beam Tilt ,"Main Feeder Loss
(dB)",Ant. Brand, Max ERP (kW)
1.00,สสท,Bangkok,กรุงเทพ,อาคารใบหยก 2 เขตราชเทวี กรุงเทพมหานคร ,สสท,กรุงเทพ,M,100.540270,13.754300,328,ND,ที่ราบ,Type 0,PHP 48 D,0.20,0.25,RFS,  100.00 
1.01,อสมท,Khao Chalak,เขาฉลาก,เขาฉลาก ถ.สุขุมวิท ต.บางพระ  อ.ศรีราชา จ.ชลบุรี ,อสมท,สระแก้ว,A1,100.949558,13.190653,40,170,ภูเขา,Type 3A,4B,,0.61,RFS,  1.00 
1.02,ททบ,Pattaya,พัทยา,เขาพระตำหนัก ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ททบ,กรุงเทพ,A1,100.866450,12.921333,60,120,ที่ราบ,Type 2,PHP6C,  -   ,1.4,RFS,  1.00 
1.03,ททบ,Chom Bueng,จอมบึง,ต.จอมบึง อ.จอมบึง จ.ราชบุรี,ทีโอที,กรุงเทพ,A2,99.613515,13.627185,80,250,ที่ราบ,Type 2,PHP6C, 0,  1.63 ,RFS,  5.00 
1.04,อสมท,Bo Thong,บ่อทอง,หมู่ที่ 1 ต.บ่อทอง อ.บ่อทอง จ.ชลบุรี,อสมท,สระแก้ว,A2,101.441810,13.291820,70,155;345,ที่ราบ,Type 5A,12C,,0.97,RFS,  5.00 
1.05,สสท,Samut Songkhram,สมุทรสงคราม,50/42 ซ.บางจะเกร็ง 4  ต.แม่กลอง อ.เมือง จ.สมุทรสงคราม,กสท,กรุงเทพ,A2,99.994444,13.385428,70,270,ที่ราบ,Type 3A,4B,0.30,1.80,Kathrein,  0.50 
1.06,อสมท,Tha Takiap,ท่าตะเกียบ,หมู่ที่ 18 ต.ท่าตะเกียบ อ.ท่าตะเกียบ จ.ฉะเชิงเทรา ,อสมท,สระแก้ว,A3,101.625020,13.473830,55,135;305,ที่ราบ,Type 5A,6C,,0.79,ELTI,  2.00 
2.00,สสท,Kanchana Buri,กาญจนบุรี,17 หมู่ที่ 5 ต.หนองบัว อ.เมือง จ.กาญจนบุรี,สสท,กรุงเทพ,M,99.420556,14.074444,124,60,ที่ราบ,Type 0,PHP 32 U 2211,0.20,1.30,RFS,  25.00 
2.01,ททบ,Sai Yok ,ไทรโยค,ต.ลุ่มสุ่ม อ.ไทรโยค จ.กาญจนบุรี,ทีโอที,กรุงเทพ,A2,99.158136,14.125748,80,130;310,ที่ราบ,Type 5,PHP8U 10 1 10 1, 0,  1.66 ,RFS,  0.50 
2.02,กปส,Thong Pha Phum,ทองผาภูมิ,เขาเสาหงษ์ ต.ท่าขนุน อ.ทองผาภูมิ จ.กาญจนบุรี,ทีโอที,กรุงเทพ,A2,98.670663,14.751217,70,150;330,ภูเขา,Type 5,PHP8U 10 1 10 1, 0,  2.07 ,RFS,  0.50 
2.03,กปส,Sangkhla Buri,สังขละบุรี,112 หมู่ที่ 2 ต.หนองลู อ.สังขละบุรี จ.กาญจนบุรี ,กปส,กรุงเทพ,A3,98.444913,15.139770,100,ND,ภูเขา,Type 1,STA8-HP,  0.50 ,  1.27 ,RFS,  2.00 
2.04,อสมท,Nong Prue,หนองปรือ,หมู่ที่ 1 บ้านหนองสาหร่าย อ.หนองปรือ อ.หนองปรือ จ.กาญจนบุรี ,เอกชน,กรุงเทพ,A3,99.464504,14.603817,55,280,ที่ราบ,Type 3A,4B, 0,1.2,ELTI,  1.00 
3.00,สสท,Singburi,สิงห์บุรี,29/1 หมู่ที่ 9 ต.ท่าข้าม อ.ค่ายบางระจัน จ.สิงห์บุรี,สสท,กรุงเทพ,M,100.377004,14.836115,126,ND,ที่ราบ,Type 0,PHP 48 D,0.50,0.74,RFS,  15.00 
3.01,กปส,Suphan Buri,สุพรรณบุรี,228  หมู่ที่ 1 ถ.สุพรรณบุรี-ป่าโมก ต.โคกโคเฒ่า อ.เมือง จ.สุพรรณบุรี ,กปส,กรุงเทพ,A1,100.180238,14.463391,100,260,ที่ราบ,Type 4,JUDH-2/1(2), 0,  2.13 ,Jampro,  1.00 
3.02,ททบ,Dan Chang 2,วังคัน ,ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี,DTAC,กรุงเทพ,A1,99.666599,14.928687,60,255,ที่ราบ,Type 3A,PHP4B,  2.00 ,  1.11 ,RFS,  0.30 
3.03,สสท,Muak Lek,มวกเหล็ก,เขาแผงม้า ต.มิตรภาพ   อ.มวกเหล็ก จ.สระบุรี ,ทีโอที,กรุงเทพ,A1,101.153715,14.652015,20,90,ภูเขา,Type 2, 6C,0.80,1.01,Kathrein,  0.50 
3.04,ททบ,Saraburi,สระบุรี,ศูนย์การทหารม้า ค่ายอดิสร ต.ปากเพรียว อ.เมือง จ.สระบุรี ,ททบ,กรุงเทพ,A1,100.921747,14.511464,118,45,ที่ราบ,Type 3A,PHP4B, 0,  2.30 ,RFS,  0.50 
3.05,ททบ,Dan Chang,ด่านช้าง,อ.ด่านช้าง จ.สุพรรณบุรี,เอกชน,กรุงเทพ,A3,99.752582,14.852947,62,270,ที่ราบ,Type 3A,3A, 0,  1.66 ,RFS,  0.50 
3.06,สสท,Chai Badan,ชัยบาดาล,หมู่ที่ 5 ต.นิคมลำนารายณ์  อ.ชัยบาดาล  จ.ลพบุรี,สสท,กรุงเทพ,A3,101.145860,15.237850,45,130,ที่ราบ,Type 3A,3A,0.30,1.80,Kathrein,  0.50 
3.07,ททบ,Khok Charoen,โคกเจริญ,ต.โคกเจริญ อ.โคกเจริญ จ.ลพบุรี,เอกชน,กรุงเทพ,A2,100.835141,15.414552,55,35,ที่ราบ,Type 6,Type 6, 0,  1.67 ,RFS,  1.00 
4.00,สสท,Rayong,ระยอง,เขายายดา ต.บ้านเพ อ.เมือง จ.ระยอง ,กปส,สระแก้ว,M,101.412925,12.675987,52,0,ภูเขา,Type 0,PHP 24 C,  0.70 ,  0.50 ,RFS,  50.00 
4.01,อสมท,Pong Nam Ron,โป่งน้ำร้อน,ต.ทับไทร อ.โป่งน้ำร้อน จ.จันทบุรี ,ทีโอที,สระแก้ว,A2,102.274523,12.889700,79,50,ที่ราบ,Type 2,12C,,1.09,RFS,  5.00 
4.02,อสมท,Chanthaburi,จันทบุรี,ต.ท่าช้าง อ.เมือง จ.จันทบุรี ,อสมท,สระแก้ว,A3,102.090514,12.659358,55,10,ที่ราบ,Type 4,2A,,1.2,ELTI,  1.00 
4.03,อสมท,Kaeng Hang Maeo,แก่งหางแมว,หมู่ที่ 1 ต.แก่งหางแมว อ.แก่งหางแมว จ.จันทบุรี ,อสมท,สระแก้ว,A3,101.908710,13.012150,55,320,ที่ราบ,Type 3A,4B,,1.2,ELTI,  1.00 
5.00,สสท,Sakaeo,สระแก้ว,2 ถ.คลองนางชิง ต.ท่าเกษม อ.เมือง จ.สระแก้ว,สสท,สระแก้ว,M,102.104231,13.804003,156,190,ที่ราบ,Type 0,PHP 36 C,  1.00 ,  0.90 ,RFS,  50.00 
5.01,ททบ,Prachin Buri,ปราจีนบุรี,ค่ายพรหมโยธี ต.บ้านพระ อ.เมือง จ.ปราจีนบุรี ,ททบ,สระแก้ว,A1,101.373767,14.141941,80,160,ที่ราบ,Type 4,Type 4,,,RFS,  1.00 
5.02,ททบ,Ta Phraya,ตาพระยา,ต.ตาพระยา อ.ตาพระยา จ.สระแก้ว,ทีโอที,สระแก้ว,A2,102.804796,14.002854,80,310,ที่ราบ,Type 2,Type 2,,,RFS,  0.50 
6.00,สสท,Trat,ตราด,เขาวงเวียน ต.บางปิด อ.แหลมงอบ จ.ตราด,สสท,สระแก้ว,M,102.298440,12.195510,64,90,ภูเขา,Type 0,PHP 16 B,  0.20 ,  0.70 ,RFS,  50.00 
7.00,อสมท,Prachaub Khiri Khun,ประจวบคีรีขันธ์,เขาทุ่งกระต่ายขัง ต.คั่นกะได อ.เมือง จ.ประจวบคีรีขันธ์,อสมท,ชุมพร,M,99.801300,11.905940,60,ND,ภูเขา,Type 0,759 21547d,  2.00 ,0.85,Kathrein,  20.00 
7.01,ททบ,Hua Hin,หัวหิน,เขาหินเหล็กไฟ อ.หัวหิน จ.ประจวบคีรีขันธ์,ช่อง 7,ชุมพร,A1,99.935176,12.565142,75,270,ภูเขา,Type 7,Type 7,  0.50 ,- 1.08 ,RFS,  1.00 
7.02,กปส,Phetchaburi,เพชรบุรี,เขาบันไดอิฐ 1 หมู่ที่ 5 ต.บ้านหม้อ อ.เมือง จ.เพชรบุรี ,กปส,ชุมพร,A1,99.929012,13.104522,80,70,ภูเขา,Type 2,JUHD-2/3,  -   ,  1.77 ,Jampro,  0.50 
7.03,สสท,Thap Sakae,ทับสะแก,เขาสมอสาม ถ.เพชรเกษม ต.อ่างทอง อ.ทับสะแก จ.ประจวบคีรีขันธ์,สสท,ชุมพร,A1,99.588250,11.418960,84,25;195,ภูเขา,Type 5A,PHP 24 U 414,0.30,1.30,Kathrein,  5.00 
7.04,ททบ,Pak Nam Pran,ปากน้ำปราณ,ต.ปากน้ำปราณ อ.ปราณบุรี จ.ประจวบคีรีขันธ์,เอกชน,ชุมพร,A3,99.990111,12.342000,55,170;340,ที่ราบ,Type 5A,Type 5A,  -   ,- 1.44 ,RFS,  0.20 
8.00,สสท,Nakhon Ratchasima,นครราชสีมา,272 หมู่ที่ 9 ต.โคกกรวด อ.เมือง จ.นครราชสีมา,สสท,สุรินทร์,M,101.995052,14.947688,156,ND,ทีราบ,Type 0,PHP 48 U 4441,0.30,0.90,RFS,  50.00 
8.01,สสท,Chum Phuang,ชุมพวง,94 หมู่ที่ 19 ต.โนนรัง อ.ชุมพวง จ.นครราชสีมา,สสท,สุรินทร์,A1,102.794060,15.273160,120,295,ที่ราบ,Type 2,774040_Richtanntenne,0.50,1.03,Kathrein,  5.00 
8.02,ททบ,Khao Yai Thiang,เขายายเที่ยง,เขายายเที่ยง 111 หมู่ที่ 12  ต.หนองสาหร่าย  อ.ปากช่อง  จ.นครราชสีมา  ,ททบ,สุรินทร์,A1,101.546679,14.786090,80,225,ภูเขา,Type 3A,Type 3A,  0.80 ,  1.70 ,RFS,  5.00 
8.03,ททบ,Wang Nam Khiao,เขาสลัดได,เขาสลัดได อ.วังน้ำเขียว  จ.นครราชสีมา,ทีโอที,สุรินทร์,A3,101.90062,14.415441,40,90;260,ภูเขา,Type 5A,Type 5A,  -   ,  1.10 ,RFS,  0.20 
9.00,สสท,Chaiyaphum,ชัยภูมิ,412 หมู่ที่ 1 ต.บุ่งคล้า อ.เมือง จ.ชัยภูมิ,สสท,ขอนแก่น,M,102.026740,15.729570,120,0,ที่ราบ,Type 0,PHP 32U 4441,1.00,1.20,RFS,  15.00 
9.01,อสมท,Nong Bua Daeng,หนองบัวแดง 1,ภูแลนคา  อ. หนองบัวแดง  จ. ชัยภูมิ,อสมท,ขอนแก่น,A1,101.895300,15.999858,50,345,ภูเขา,Type 4,2A,,0.96,RFS,  0.50 
9.02,อสมท,Nong Bua Daeng 2,หนองบัวแดง 2,ต.หนองบัวแดง อ.หนองบัวแดง จ.ชัยภูมิ ,ทีโอที,ขอนแก่น,A2,101.804348,16.082553,82,270,ที่ราบ,Type 2,6C,,1.65,RFS,  0.50 
9.03,ททบ,Phakdi Chumphon,ภักดีชุมพล,ต.เจาทอง อ.ภักดีชุมพล จ.ชัยภูมิ,เอกชน,ขอนแก่น,A3,101.423038,15.906293,55,30;200,ที่ราบ,Type 5A,Type 5A,0,  1.38 ,RFS,  0.50 
9.04,ททบ,Thep Sathit,เทพสถิต,ต.วะตะแบก อ.เทพสถิตย์ จ.ชัยภูมิ,เอกชน,สุรินทร์,A3,101.437773,15.389768,55,10;190,ที่ราบ,Type 5A,Type 5A,  -   ,  1.10 ,RFS,  0.50 
10.00,สสท,Surin,สุรินทร์,227 หมู่ที่ 1 ต.แกใหญ่ อ.เมือง จ.สุรินทร์,สสท,สุรินทร์,M,103.507680,14.919520,126,ND,ที่ราบ,Type 0,PHP 48 D,0.20,0.90,RFS,  50.00 
10.01,ททบ,Buriram,บุรีรัมย์,218 หมู่ที่ 13  ต.เสม็ด  อ.เมือง  จ.บุรีรัมย์,ททบ,สุรินทร์,A1,103.098123,14.934247,80,255,ภูเขา,Type 3A,Type 3A,  -   ,  1.60 ,RFS,  2.00 
10.02,ททบ,Nang Rong,นางรอง,ต.นางรอง   อ.นางรอง  จ.บุรีรัมย์,ทีโอที,สุรินทร์,A3,102.70518,14.643154,55,240,ที่ราบ,Type 3A,Type 3A,  -   ,  1.10 ,RFS,  2.00 
11.00,อสมท,Sisaket,ศรีสะเกษ,ต.ซำ อ.เมือง จ.ศรีสะเกษ,อสมท,สุรินทร์,M,104.345228,15.042331,120,ND,ที่ราบ,Type 0,,  2.00 ,1.34,Denki Kogyo,  20.00 
11.01,สสท,Kantharalak,กันทรลักษ์,ต.น้ำอ้อม  อ.กันทรลักษ์  จ.ศรีสะเกษ,ทีโอที,อุบลราชธานี,A2,104.651717,14.641479,72,160,ที่ราบ,Type 3A,75010210_Richtanntenne,0.30,1.69,Kathrein,  2.00 
12.00,สสท,Ubon Ratchathani,อุบลราชธานี,122 หมู่ที่ 7 ต.หนองบก อ.เหล่าเสือโก๊ก จ.อุบลราชธานี,สสท,อุบลราชธานี,M,104.923611,15.381667,156,ND,ที่ราบ,Type 0, PHP 48 D,0.20,0.90,RFS,  50.00 
12.01,กปส,Amnat Charoen,อำนาจเจริญ,ศูนย์ราชการที่ 1 ถ.ชยางกูร อ.เมือง จ.อำนาจเจริญ,กปส,อุบลราชธานี,A1,104.618922,15.898967,100,350,ที่ราบ,Type 2,JUHD-2/3,0,1.76,Jampro,  0.50 
12.02,อสมท,Buntharik,บุณฑริก,ต.โพนงาม อ.บุณฑริก จ.อุบลราชธานี ,ทีโอที,อุบลราชธานี,A2,105.413027,14.756517,89,300,ที่ราบ,Type 2,6C,0.30,1.21,RFS,  2.00 
12.03,อสมท,Nam Yuen,น้ำยืน,ต.สีวิเชียร ต.น้ำยืน จ.อุบลราชธานี ,ทีโอที,อุบลราชธานี,A2,105.002684,14.490170,114,350,ที่ราบ,Type 2,12C,0.30,1.57,RFS,  5.00 
12.04,อสมท,Pathum Ratchawongsa,ปทุมราชวงศา,หมู่ที่ 7 ต.คำโพน อ.ปทุมราชวงศา จ.อำนาจเจริญ ,ทีโอที,อุบลราชธานี,A3,104.985960,15.941900,55,45,ที่ราบ,Type 3A,4B,0.20,0.79,ELTI,  2.00 
12.05,ททบ,Pho Sai,โพธิ์ไทร,ต.เหล่างาม อ.โพธิ์ไทร จ.อุบลราชธานี,เอกชน,อุบลราชธานี,A3,105.378036,15.784942,55,250,ที่ราบ,Type 2,PHP6C,0,1.59,RFS,  0.50 
13.00,สสท,Mukdahan,มุกดาหาร,212 หมู่ที่ 3 ถ.ชยางกูร ต.บางทรายใหญ่ อ.เมือง จ.มุกดาหาร,สสท,อุบลราชธานี,M,104.718181,16.613679,124,240,ที่ราบ,Type 0, PHP 32 U,1.00,1.20,RFS,  20.00 
13.01,อสมท,Phu Hin Khan,ภูหินขัน,ภูหินขัน 320 หมู่ที่ 1 ต.คำอาฮวน   อ.เมือง จ.มุกดาหาร  ,อสมท,อุบลราชธานี,A1,104.629602,16.468387,80,190,ภูเขา,Type 4,2A,2.00,1.33,RFS,  2.00 
13.02,อสมท,Dong Luang,ดงหลวง,ต.ดงหลวง อ.ดงหลวง จ.มุกดาหาร ,ทีโอที,อุบลราชธานี,A3,104.537077,16.814992,82,ND,ที่ราบ,Type 1,STA,1.00,1.57,RFS,  0.50 
14.00,สสท,Roi ET,ร้อยเอ็ด,59  หมู่ที่ 14 ถ.รัฐกิจไกลคลา ต.รอบเมือง อ.เมือง จ.ร้อยเอ็ด,สสท,สุรินทร์,M,103.624210,15.978350,126,ND,ที่ราบ,Type 0, PHP 36C,0.20,0.90,RFS,  50.00 
14.01,กปส,Yasothon,ยโสธร,10 ถ.เทศบาล 1 ต.ในเมือง อ.เมือง จ.ยโสธร,กปส,สุรินทร์,A1,104.142504,15.803563,100,145,ที่ราบ,Type 3A,,  -   ,  2.12 ,Jampro,  1.00 
15.00,สสท,Khon Kaen,ขอนแก่น,205 หมู่ที่ 8 ต.โคกสี อ.เมือง จ.ขอนแก่น,สสท,ขอนแก่น,M,102.946222,16.463686,156,ND,ที่ราบ,Type 0, PHP 48 D,0.20,0.90,RFS,  50.00 
15.01,สสท,Chum Phae,ชุมแพ,115 หมู่ที่ 9 ต.ชุมแพ อ.ชุมแพ จ.ขอนแก่น,สสท,ขอนแก่น,A1,102.041455,16.549452,124,ND,ที่ราบ,Type 1,STA,0.50,1.30,Kathrein,  2.00 
15.02,ททบ,Phu Sing,ภูสิงห์,ต.ภูสิงห์ อ.สหัสขันธ์ จ.กาฬสินธุ์,ทีโอที,สุรินทร์,A1,103.518611,16.722778,95,70,ภูเขา,Type 3,Type 3,  1.30 ,  1.70 ,RFS,  1.00 
15.03,อสมท,Phon,พล,อ.พล  จ.ขอนแก่น,ทีโอที,สุรินทร์,A1,102.600232,15.809009,58,175,ที่ราบ,Type 3A,4B,  -   ,0.79,ALDENA,  0.50 
15.04,อสมท,Kaeng Khro,แก้งคร้อ,ภูผาแดง อ.โคกโพธิ์ชัย จ.ขอนแก่น ,ทีโอที,ขอนแก่น,A2,102.295658,16.098189,24,130,ภูเขา,Type 4,2A,,0.61,RFS,  0.50 
15.06,อสมท,Khao Wong,เขาวง,อ.เขาวง จ.กาฬสินธุ์ ,ทีโอที,อุบลราชธานี,A3,104.089500,16.691050,107,ND,ที่ราบ,Type 1,STA,1.00,2.09,RFS,  0.50 
15.08,สสท,Phu Wiang,ภูเวียง,ต.ดินดำ  อ.ภูเวียง  จ.ขอนแก่น,เอกชน,ขอนแก่น,A3,102.432560,16.759680,60,ND,ที่ราบ,Type 1,STA,1.00,1.60,Kathrein,  0.50 
16.00,สสท,Loei,เลย,ภูผาสาด ต.สานตม อ.ภูเรือ จ.เลย,สสท,ขอนแก่น,M,101.444519,17.470655,35,130,ภูเขา,Type 0, PHP32U4441,1.50,0.70,RFS,  20.00 
16.01,กปส,Nong Bua Lam Phu,หนองบัวลำภู,อ.เมือง จ.หนองบัวลำภู,กปส,ขอนแก่น,A1,102.429346,17.228005,100,235,ที่ราบ,Type 3A,,0,  2.02 ,Jampro,  0.20 
16.02,ททบ,Nong Hin,หนองหิน,ต.หนองหิน อ.หนองหิน จ.เลย,เอกชน,ขอนแก่น,A3,101.850967,17.136145,55,ND,ที่ราบ,Type 1,Type 1,  0.50 ,  1.42 ,RFS,  1.00 
16.03,ททบ,Chiang Klom,เชียงกลม,ต.เชียงกลม อ.ปากชม จ.เลย,เอกชน,ขอนแก่น,A3,101.933286,17.839850,55,160;330,ที่ราบ,Type 5A,Type 5A,0,  1.38 ,RFS,  1.00 
17.00,สสท,Udonthani,อุดรธานี,179 หมู่ที่ 13 ต.บ้านธาตุ อ.เพ็ญ จ.อุดรธานี,สสท,ขอนแก่น,M,102.794088,17.664041,156,ND,ที่ราบ,Type 0, PHP 48 D,0.20,1.00,RFS,  50.00 
17.01,สสท,Nam Som,น้ำโสม,ภูตะแคง อ.น้ำโสม  จ.อุดรธานี,ทีโอที,ขอนแก่น,A2,102.189221,17.798590,70,15;185,ภูเขา,Type 5A,6C,0.30,1.80,Kathrein,  1.00 
18.00,สสท,Buengkan,บึงกาฬ,328 หมู่ที่ 6 ถ.สามยอดเทวกุล อ.เมือง จ.บึงกาฬ,สสท,ขอนแก่น,M,103.553190,18.354690,100,180,ที่ราบ,Type 0, 12C,0.30,1.40,RFS,  10.00 
19.00,สสท,Sakhon Nakhon,สกลนคร,ภูพาน ต.ห้วยยาง อ.เมือง จ.สกลนคร,สสท,อุบลราชธานี,M,103.987520,17.138050,109,340,ภูเขา,Type 0, PHP24U441,0.20,0.80,RFS,  50.00 
19.01,อสมท,Nakhon Phanom,นครพนม,135 หมู่ที่ 10 บ้านหนองบัว ต.หนองญาติ อ.เมือง จ.นครพนม ,อสมท,อุบลราชธานี,A1,104.770131,17.374367,100,90,ที่ราบ,Type 3,6C,0.70,1.33,Kathrein,  0.50 
19.02,อสมท,Ban Phaeng,บ้านแพง,หมู่ที่ 11 ต.บ้านแพง อ.บ้านแพง จ.นครพนม ,เอกชน,อุบลราชธานี,A3,104.227242,17.947719,55,330,ที่ราบ,Type 4,2A,0.30,1.2,ELTI,  0.50 
20.00,สสท,Chiang Mai,เชียงใหม่,ดอยสุเทพ ต.สุเทพ อ.เมือง จ.เชียงใหม่,สสท,เชียงใหม่,M,98.915020,18.808140,78,40;180,ภูเขา,Type 0, PHP 16 B,0.80,0.68,RFS,  50.00 
20.01,สสท,Chai Prakan,ไชยปราการ,ดอยผาหงษ์ ต.ศรีดงเย็น   อ.ไชยปราการ จ.เชียงใหม่ ,ทีโอที,เชียงใหม่,A1,99.144830,19.628480,19,20,ภูเขา,Type 4,2A,0,0.55,Kathrein,  2.00 
20.02,สสท,Chiang Dao,เชียงดาว(เขาห้วยหินฝน),เขาห้วยหินฝน อ.เชียงดาว  จ.เชียงใหม่,ทีโอที,เชียงใหม่,A1,98.951143,19.250543,32,0;180,ภูเขา,Type 5,4B,0.80,0.60,Kathrein,  0.50 
20.03,ททบ,Phrao,พร้าว,ถ.หมายเลข 1150 ต.เวียง อ.พร้าว จ.เชียงใหม่,เอกชน,เชียงใหม่,A2,99.200397,19.346154,55,ND,ที่ราบ,Type 1,STA8-LMP,0.50,1.24,RFS,  2.00 
20.04,ททบ,Li,ลี้ ,ถ.หมายเลข 106 ต.ลี้ อ.ลี้ จ.ลำพูน,เอกชน,เชียงใหม่,A2,98.956332,17.779373,55,155;345,ที่ราบ,Type 5,"PHP8U10,1,10,1",0,1.34,RFS,  2.00 
20.05,สสท,Doi Tao,ดอยเต่า,ต.ท่าเดื่อ  อ.ดอยเต่า  จ.เชียงใหม่,สสท,เชียงใหม่,A2,98.715800,17.935830,60,240,ที่ราบ,Type 3A,8B,0.20,1.50,Kathrein,  5.00 
